29,12,1,

11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,06,04,04,04,05,10,11,16,11,11,11,16,05,11,04,06,05,04,06,11,11,04,05,10,11,
11,11,11,11,04,05,06,16,11,12,06,12,11,11,11,11,12,05,06,05,04,05,04,11,11,10,11,16,11,
11,11,11,11,16,10,11,05,04,16,11,10,11,05,06,04,05,06,11,05,11,06,05,04,11,16,05,04,11,
11,04,05,06,04,05,04,01,02,02,03,10,05,06,05,11,10,01,02,03,04,11,11,10,11,11,11,11,11,
11,10,10,10,06,05,05,07,08,08,09,11,12,05,11,04,05,07,08,09,10,11,12,16,04,05,06,04,11,
11,16,11,12,05,06,06,13,14,14,15,06,05,12,11,06,16,07,08,09,04,04,04,04,05,06,10,10,11,
11,11,11,11,11,12,11,05,12,12,04,11,04,10,11,04,11,13,14,15,16,04,05,11,06,10,16,11,11,
11,11,11,11,05,11,05,11,05,10,06,16,05,11,11,05,04,06,11,10,11,05,06,11,11,11,11,11,11,
11,11,11,11,16,04,05,11,12,05,06,05,11,11,11,16,06,05,04,04,11,06,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
